date,entries
2019-07-06,6471.805687203791
2019-07-07,5696.981042654028
2019-07-08,12029.175355450237
2019-07-09,12943.703791469194
2019-07-10,13312.082938388625
2019-07-11,13294.191943127962
2019-07-12,12670.824644549763
2019-07-13,7742.263033175355
2019-07-14,5966.317535545024
2019-07-15,12328.274881516587
2019-07-16,13167.47393364929
2019-07-17,13210.094786729858
2019-07-18,12858.598574821854
2019-07-19,12383.159523809523
2019-07-20,6901.587677725119
2019-07-21,5455.172985781991
2019-07-22,11929.521327014218
2019-07-23,12408.12380952381
2019-07-24,13228.188095238096
2019-07-25,13336.783333333333
2019-07-26,12693.05
2019-07-27,7706.627078384799
2019-07-28,6153.874109263658
2019-07-29,12047.555819477435
2019-07-30,12823.147268408551
2019-07-31,12924.755344418052
2019-08-01,12922.384798099762
